"name","year","qtd"
"enhancement","2018-11-1","649"
"enhancement","2018-12-1","660"
"enhancement","2019-1-1","492"
"enhancement","2019-2-1","504"
"enhancement","2019-3-1","509"
"enhancement","2019-4-1","505"
"enhancement","2019-5-1","555"
"enhancement","2019-6-1","577"
"enhancement","2019-7-1","587"
"enhancement","2019-8-1","532"
"enhancement","2019-9-1","0"
"enhancement","2019-10-1","0"
"enhancement","2019-11-1","0"
"enhancement","2019-12-1","0"
"technical debt","2016-1-1","0"
"technical debt","2016-2-1","0"
"technical debt","2016-3-1","0"
"technical debt","2016-4-1","0"
"technical debt","2016-5-1","0"
"technical debt","2016-6-1","0"
"technical debt","2016-7-1","1"
"technical debt","2016-8-1","1"
"technical debt","2016-9-1","1"
"technical debt","2016-10-1","2"
"technical debt","2016-11-1","2"
"technical debt","2016-12-1","5"
"technical debt","2017-1-1","13"
"technical debt","2017-2-1","11"
"technical debt","2017-3-1","18"
"technical debt","2017-4-1","31"
"technical debt","2017-5-1","32"
"technical debt","2017-6-1","25"
"technical debt","2017-7-1","49"
"technical debt","2017-8-1","50"
"technical debt","2017-9-1","38"
"technical debt","2017-10-1","47"
"technical debt","2017-11-1","41"
"technical debt","2017-12-1","41"
"technical debt","2018-1-1","93"
"technical debt","2018-2-1","66"
"technical debt","2018-3-1","92"
"technical debt","2018-4-1","54"
"technical debt","2018-5-1","66"
"technical debt","2018-6-1","55"
"technical debt","2018-7-1","52"
"technical debt","2018-8-1","57"
"technical debt","2018-9-1","47"
"technical debt","2018-10-1","78"
"technical debt","2018-11-1","53"
"technical debt","2018-12-1","65"
"technical debt","2019-1-1","69"
"technical debt","2019-2-1","46"
"technical debt","2019-3-1","46"
"technical debt","2019-4-1","52"
"technical debt","2019-5-1","88"
"technical debt","2019-6-1","52"
"technical debt","2019-7-1","59"
"technical debt","2019-8-1","50"
"technical debt","2019-9-1","0"
"technical debt","2019-10-1","0"
"technical debt","2019-11-1","0"
"technical debt","2019-12-1","0"
"bug","2016-1-1","0"
"bug","2016-2-1","0"
"bug","2016-3-1","0"
"bug","2016-4-1","0"
"bug","2016-5-1","0"
"bug","2016-6-1","70"
"bug","2016-7-1","115"
"bug","2016-8-1","189"
"bug","2016-9-1","191"
"bug","2016-10-1","221"
"bug","2016-11-1","333"
"bug","2016-12-1","332"
"bug","2017-1-1","466"
"bug","2017-2-1","475"
"bug","2017-3-1","511"
"bug","2017-4-1","536"
"bug","2017-5-1","604"
"bug","2017-6-1","591"
"bug","2017-7-1","587"
"bug","2017-8-1","624"
"bug","2017-9-1","623"
"bug","2017-10-1","588"
"bug","2017-11-1","630"
"bug","2017-12-1","644"
"bug","2018-1-1","829"
"bug","2018-2-1","783"
"bug","2018-3-1","811"
"bug","2018-4-1","794"
"bug","2018-5-1","783"
"bug","2018-6-1","797"
"bug","2018-7-1","856"
"bug","2018-8-1","945"
"bug","2018-9-1","830"
"bug","2018-10-1","1016"
"bug","2018-11-1","1009"
"bug","2018-12-1","1003"
"bug","2019-1-1","903"
"bug","2019-2-1","901"
"bug","2019-3-1","997"
"bug","2019-4-1","969"
"bug","2019-5-1","1066"
"bug","2019-6-1","1073"
"bug","2019-7-1","1096"
"bug","2019-8-1","895"
"bug","2019-9-1","0"
"bug","2019-10-1","0"
"bug","2019-11-1","0"
"bug","2019-12-1","0"
"backport-request","2016-1-1","0"
"backport-request","2016-2-1","0"
"backport-request","2016-3-1","0"
"backport-request","2016-4-1","0"
"backport-request","2016-5-1","0"
"backport-request","2016-6-1","0"
"backport-request","2016-7-1","0"
"backport-request","2016-8-1","0"
"backport-request","2016-9-1","0"
"backport-request","2016-10-1","0"
"backport-request","2016-11-1","0"
"backport-request","2016-12-1","0"
"backport-request","2017-1-1","0"
"backport-request","2017-2-1","0"
"backport-request","2017-3-1","0"
"backport-request","2017-4-1","0"
"backport-request","2017-5-1","0"
"backport-request","2017-6-1","0"
"backport-request","2017-7-1","0"
"backport-request","2017-8-1","0"
"backport-request","2017-9-1","0"
"backport-request","2017-10-1","0"
"backport-request","2017-11-1","0"
"backport-request","2017-12-1","0"
"backport-request","2018-1-1","0"
"backport-request","2018-2-1","0"
"backport-request","2018-3-1","0"
"backport-request","2018-4-1","0"
"backport-request","2018-5-1","0"
"backport-request","2018-6-1","0"
"backport-request","2018-7-1","0"
"backport-request","2018-8-1","0"
"backport-request","2018-9-1","0"
"backport-request","2018-10-1","0"
"backport-request","2018-11-1","0"
"backport-request","2018-12-1","0"
"backport-request","2019-1-1","0"
"backport-request","2019-2-1","0"
"backport-request","2019-3-1","1"
"backport-request","2019-4-1","2"
"backport-request","2019-5-1","4"
"backport-request","2019-6-1","4"
"backport-request","2019-7-1","10"
"backport-request","2019-8-1","9"
"backport-request","2019-9-1","0"
"backport-request","2019-10-1","0"
"backport-request","2019-11-1","0"
"backport-request","2019-12-1","0"
"feature: external storage","2016-1-1","0"
"feature: external storage","2016-2-1","0"
"feature: external storage","2016-3-1","0"
"feature: external storage","2016-4-1","0"
"feature: external storage","2016-5-1","0"
"feature: external storage","2016-6-1","5"
"feature: external storage","2016-7-1","11"
"feature: external storage","2016-8-1","19"
"feature: external storage","2016-9-1","21"
"feature: external storage","2016-10-1","24"
"feature: external storage","2016-11-1","30"
"feature: external storage","2016-12-1","41"
"feature: external storage","2017-1-1","80"
"feature: external storage","2017-2-1","85"
"feature: external storage","2017-3-1","105"
"feature: external storage","2017-4-1","110"
"feature: external storage","2017-5-1","113"
"feature: external storage","2017-6-1","107"
"feature: external storage","2017-7-1","117"
"feature: external storage","2017-8-1","118"
"feature: external storage","2017-9-1","106"
"feature: external storage","2017-10-1","109"
"feature: external storage","2017-11-1","113"
"feature: external storage","2017-12-1","113"
"feature: external storage","2018-1-1","130"
"feature: external storage","2018-2-1","137"
"feature: external storage","2018-3-1","139"
"feature: external storage","2018-4-1","141"
"feature: external storage","2018-5-1","144"
"feature: external storage","2018-6-1","144"
"feature: external storage","2018-7-1","140"
"feature: external storage","2018-8-1","134"
"feature: external storage","2018-9-1","98"
"feature: external storage","2018-10-1","106"
"feature: external storage","2018-11-1","108"
"feature: external storage","2018-12-1","106"
"feature: external storage","2019-1-1","57"
"feature: external storage","2019-2-1","63"
"feature: external storage","2019-3-1","61"
"feature: external storage","2019-4-1","54"
"feature: external storage","2019-5-1","54"
"feature: external storage","2019-6-1","54"
"feature: external storage","2019-7-1","53"
"feature: external storage","2019-8-1","54"
"feature: external storage","2019-9-1","0"
"feature: external storage","2019-10-1","0"
"feature: external storage","2019-11-1","0"
"feature: external storage","2019-12-1","0"
"feature: sharing","2016-1-1","0"
"feature: sharing","2016-2-1","0"
"feature: sharing","2016-3-1","0"
"feature: sharing","2016-4-1","0"
"feature: sharing","2016-5-1","0"
"feature: sharing","2016-6-1","2"
"feature: sharing","2016-7-1","21"
"feature: sharing","2016-8-1","38"
"feature: sharing","2016-9-1","40"
"feature: sharing","2016-10-1","65"
"feature: sharing","2016-11-1","99"
"feature: sharing","2016-12-1","82"
"feature: sharing","2017-1-1","154"
"feature: sharing","2017-2-1","159"
"feature: sharing","2017-3-1","184"
"feature: sharing","2017-4-1","205"
"feature: sharing","2017-5-1","192"
"feature: sharing","2017-6-1","203"
"feature: sharing","2017-7-1","211"
"feature: sharing","2017-8-1","203"
"feature: sharing","2017-9-1","181"
"feature: sharing","2017-10-1","186"
"feature: sharing","2017-11-1","199"
"feature: sharing","2017-12-1","193"
"feature: sharing","2018-1-1","198"
"feature: sharing","2018-2-1","200"
"feature: sharing","2018-3-1","209"
"feature: sharing","2018-4-1","211"
"feature: sharing","2018-5-1","207"
"feature: sharing","2018-6-1","213"
"feature: sharing","2018-7-1","221"
"feature: sharing","2018-8-1","215"
"feature: sharing","2018-9-1","158"
"feature: sharing","2018-10-1","193"
"feature: sharing","2018-11-1","205"
"feature: sharing","2018-12-1","181"
"feature: sharing","2019-1-1","120"
"feature: sharing","2019-2-1","125"
"feature: sharing","2019-3-1","118"
"feature: sharing","2019-4-1","117"
"feature: sharing","2019-5-1","126"
"feature: sharing","2019-6-1","120"
"feature: sharing","2019-7-1","113"
"feature: sharing","2019-8-1","109"
"feature: sharing","2019-9-1","0"
"feature: sharing","2019-10-1","0"
"feature: sharing","2019-11-1","0"
"feature: sharing","2019-12-1","0"
"4. to release","2016-1-1","0"
"4. to release","2016-2-1","0"
"4. to release","2016-3-1","0"
"4. to release","2016-4-1","0"
"4. to release","2016-5-1","0"
"4. to release","2016-6-1","7"
"4. to release","2016-7-1","42"
"4. to release","2016-8-1","73"
"4. to release","2016-9-1","51"
"4. to release","2016-10-1","75"
"4. to release","2016-11-1","60"
"4. to release","2016-12-1","43"
"4. to release","2017-1-1","48"
"4. to release","2017-2-1","16"
"4. to release","2017-3-1","54"
"4. to release","2017-4-1","59"
"4. to release","2017-5-1","43"
"4. to release","2017-6-1","47"
"4. to release","2017-7-1","55"
"4. to release","2017-8-1","49"
"4. to release","2017-9-1","53"
"4. to release","2017-10-1","32"
"4. to release","2017-11-1","36"
"4. to release","2017-12-1","41"
"4. to release","2018-1-1","80"
"4. to release","2018-2-1","41"
"4. to release","2018-3-1","53"
"4. to release","2018-4-1","44"
"4. to release","2018-5-1","58"
"4. to release","2018-6-1","70"
"4. to release","2018-7-1","77"
"4. to release","2018-8-1","54"
"4. to release","2018-9-1","63"
"4. to release","2018-10-1","135"
"4. to release","2018-11-1","114"
"4. to release","2018-12-1","120"
"4. to release","2019-1-1","161"
"4. to release","2019-2-1","91"
"4. to release","2019-3-1","110"
"4. to release","2019-4-1","91"
"4. to release","2019-5-1","137"
"4. to release","2019-6-1","102"
"4. to release","2019-7-1","125"
"4. to release","2019-8-1","4"
"4. to release","2019-9-1","0"
"4. to release","2019-10-1","0"
"4. to release","2019-11-1","0"
"4. to release","2019-12-1","0"
"design","2016-1-1","0"
"design","2016-2-1","0"
"design","2016-3-1","0"
"design","2016-4-1","0"
"design","2016-5-1","0"
"design","2016-6-1","35"
"design","2016-7-1","54"
"design","2016-8-1","76"
"design","2016-9-1","76"
"design","2016-10-1","113"
"design","2016-11-1","134"
"design","2016-12-1","109"
"design","2017-1-1","194"
"design","2017-2-1","171"
"design","2017-3-1","186"
"design","2017-4-1","198"
"design","2017-5-1","204"
"design","2017-6-1","194"
"design","2017-7-1","190"
"design","2017-8-1","199"
"design","2017-9-1","210"
"design","2017-10-1","187"
"design","2017-11-1","206"
"design","2017-12-1","188"
"design","2018-1-1","178"
"design","2018-2-1","179"
"design","2018-3-1","190"
"design","2018-4-1","175"
"design","2018-5-1","171"
"design","2018-6-1","180"
"design","2018-7-1","198"
"design","2018-8-1","219"
"design","2018-9-1","167"
"design","2018-10-1","221"
"design","2018-11-1","211"
"design","2018-12-1","161"
"design","2019-1-1","146"
"design","2019-2-1","134"
"design","2019-3-1","125"
"design","2019-4-1","122"
"design","2019-5-1","122"
"design","2019-6-1","124"
"design","2019-7-1","106"
"design","2019-8-1","93"
"design","2019-9-1","0"
"design","2019-10-1","0"
"design","2019-11-1","0"
"design","2019-12-1","0"
"papercut","2016-1-1","0"
"papercut","2016-2-1","0"
"papercut","2016-3-1","0"
"papercut","2016-4-1","0"
"papercut","2016-5-1","0"
"papercut","2016-6-1","3"
"papercut","2016-7-1","8"
"papercut","2016-8-1","35"
"papercut","2016-9-1","34"
"papercut","2016-10-1","40"
"papercut","2016-11-1","51"
"papercut","2016-12-1","43"
"papercut","2017-1-1","71"
"papercut","2017-2-1","71"
"papercut","2017-3-1","78"
"papercut","2017-4-1","88"
"papercut","2017-5-1","102"
"papercut","2017-6-1","89"
"papercut","2017-7-1","92"
"papercut","2017-8-1","104"
"papercut","2017-9-1","89"
"papercut","2017-10-1","85"
"papercut","2017-11-1","91"
"papercut","2017-12-1","88"
"papercut","2018-1-1","90"
"papercut","2018-2-1","93"
"papercut","2018-3-1","102"
"papercut","2018-4-1","85"
"papercut","2018-5-1","87"
"papercut","2018-6-1","96"
"papercut","2018-7-1","102"
"papercut","2018-8-1","96"
"papercut","2018-9-1","72"
"papercut","2018-10-1","78"
"papercut","2018-11-1","71"
"papercut","2018-12-1","60"
"papercut","2019-1-1","42"
"papercut","2019-2-1","43"
"papercut","2019-3-1","49"
"papercut","2019-4-1","46"
"papercut","2019-5-1","43"
"papercut","2019-6-1","42"
"papercut","2019-7-1","37"
"papercut","2019-8-1","32"
"papercut","2019-9-1","0"
"papercut","2019-10-1","0"
"papercut","2019-11-1","0"
"papercut","2019-12-1","0"
"needs info","2016-1-1","0"
"needs info","2016-2-1","0"
"needs info","2016-3-1","0"
"needs info","2016-4-1","0"
"needs info","2016-5-1","0"
"needs info","2016-6-1","5"
"needs info","2016-7-1","9"
"needs info","2016-8-1","20"
"needs info","2016-9-1","30"
"needs info","2016-10-1","41"
"needs info","2016-11-1","39"
"needs info","2016-12-1","57"
"needs info","2017-1-1","70"
"needs info","2017-2-1","59"
"needs info","2017-3-1","82"
"needs info","2017-4-1","78"
"needs info","2017-5-1","100"
"needs info","2017-6-1","79"
"needs info","2017-7-1","82"
"needs info","2017-8-1","91"
"needs info","2017-9-1","73"
"needs info","2017-10-1","81"
"needs info","2017-11-1","76"
"needs info","2017-12-1","70"
"needs info","2018-1-1","88"
"needs info","2018-2-1","92"
"needs info","2018-3-1","99"
"needs info","2018-4-1","101"
"needs info","2018-5-1","98"
"needs info","2018-6-1","93"
"needs info","2018-7-1","80"
"needs info","2018-8-1","65"
"needs info","2018-9-1","76"
"needs info","2018-10-1","88"
"needs info","2018-11-1","111"
"needs info","2018-12-1","87"
"needs info","2019-1-1","71"
"needs info","2019-2-1","66"
"needs info","2019-3-1","77"
"needs info","2019-4-1","64"
"needs info","2019-5-1","69"
"needs info","2019-6-1","85"
"needs info","2019-7-1","82"
"needs info","2019-8-1","36"
"needs info","2019-9-1","0"
"needs info","2019-10-1","0"
"needs info","2019-11-1","0"
"needs info","2019-12-1","0"
"feature: theming","2016-1-1","0"
"feature: theming","2016-2-1","0"
"feature: theming","2016-3-1","0"
"feature: theming","2016-4-1","0"
"feature: theming","2016-5-1","0"
"feature: theming","2016-6-1","5"
"feature: theming","2016-7-1","26"
"feature: theming","2016-8-1","38"
"feature: theming","2016-9-1","13"
"feature: theming","2016-10-1","11"
"feature: theming","2016-11-1","18"
"feature: theming","2016-12-1","10"
"feature: theming","2017-1-1","16"
"feature: theming","2017-2-1","19"
"feature: theming","2017-3-1","23"
"feature: theming","2017-4-1","22"
"feature: theming","2017-5-1","46"
"feature: theming","2017-6-1","44"
"feature: theming","2017-7-1","37"
"feature: theming","2017-8-1","36"
"feature: theming","2017-9-1","43"
"feature: theming","2017-10-1","17"
"feature: theming","2017-11-1","25"
"feature: theming","2017-12-1","25"
"feature: theming","2018-1-1","38"
"feature: theming","2018-2-1","23"
"feature: theming","2018-3-1","26"
"feature: theming","2018-4-1","19"
"feature: theming","2018-5-1","26"
"feature: theming","2018-6-1","23"
"feature: theming","2018-7-1","23"
"feature: theming","2018-8-1","23"
"feature: theming","2018-9-1","24"
"feature: theming","2018-10-1","23"
"feature: theming","2018-11-1","18"
"feature: theming","2018-12-1","14"
"feature: theming","2019-1-1","11"
"feature: theming","2019-2-1","17"
"feature: theming","2019-3-1","20"
"feature: theming","2019-4-1","13"
"feature: theming","2019-5-1","12"
"feature: theming","2019-6-1","18"
"feature: theming","2019-7-1","13"
"feature: theming","2019-8-1","9"
"feature: theming","2019-9-1","0"
"feature: theming","2019-10-1","0"
"feature: theming","2019-11-1","0"
"feature: theming","2019-12-1","0"
"feature: federation","2016-1-1","0"
"feature: federation","2016-2-1","0"
"feature: federation","2016-3-1","0"
"feature: federation","2016-4-1","0"
"feature: federation","2016-5-1","0"
"feature: federation","2016-6-1","1"
"feature: federation","2016-7-1","5"
"feature: federation","2016-8-1","9"
"feature: federation","2016-9-1","8"
"feature: federation","2016-10-1","10"
"feature: federation","2016-11-1","15"
"feature: federation","2016-12-1","11"
"feature: federation","2017-1-1","26"
"feature: federation","2017-2-1","30"
"feature: federation","2017-3-1","33"
"feature: federation","2017-4-1","34"
"feature: federation","2017-5-1","34"
"feature: federation","2017-6-1","32"
"feature: federation","2017-7-1","33"
"feature: federation","2017-8-1","29"
"feature: federation","2017-9-1","26"
"feature: federation","2017-10-1","25"
"feature: federation","2017-11-1","25"
"feature: federation","2017-12-1","29"
"feature: federation","2018-1-1","27"
"feature: federation","2018-2-1","28"
"feature: federation","2018-3-1","28"
"feature: federation","2018-4-1","31"
"feature: federation","2018-5-1","28"
"feature: federation","2018-6-1","29"
"feature: federation","2018-7-1","27"
"feature: federation","2018-8-1","25"
"feature: federation","2018-9-1","18"
"feature: federation","2018-10-1","22"
"feature: federation","2018-11-1","22"
"feature: federation","2018-12-1","27"
"feature: federation","2019-1-1","17"
"feature: federation","2019-2-1","23"
"feature: federation","2019-3-1","24"
"feature: federation","2019-4-1","23"
"feature: federation","2019-5-1","27"
"feature: federation","2019-6-1","24"
"feature: federation","2019-7-1","22"
"feature: federation","2019-8-1","20"
"feature: federation","2019-9-1","0"
"feature: federation","2019-10-1","0"
"feature: federation","2019-11-1","0"
"feature: federation","2019-12-1","0"
"2. developing","2016-1-1","0"
"2. developing","2016-2-1","0"
"2. developing","2016-3-1","0"
"2. developing","2016-4-1","0"
"2. developing","2016-5-1","0"
"2. developing","2016-6-1","4"
